GLINE_VERSION_ID;LINE_ID
4;1000316
7;4000251
25;1000295
41;1000315
42;1000392
43;4000245
44;1000560
50;1000232
52;1000396
53;1000252
54;1000558
66;1000394
67;46
68;1000569
70;4000241
72;1000352
90;1000312
96;65
97;1000553
98;1000393
99;4000281
100;69
101;4000253
102;4000201
104;76
109;1000233
110;1000313
112;1000559
113;1000314
114;4000521
116;1000273
118;94
119;4000247
120;1000561
122;1000562
123;1000373
126;4000441
128;1000564
129;108
130;109
132;1000554
133;1000565
134;1000566
135;114
140;1000395
141;4000361
146;1000568
147;4000255
148;1000372
150;130
154;1000556
156;140
162;1000563
164;1000567
165;1000294
171;4000401
173;1000292
179;163
225;4000481
226;4000523
264;4000243
284;1000398
324;4000249
344;1000555
386;4000527
1000008;1000011
1000010;1000008
1000011;1000012
1000024;1000009
1000044;1000039
1000120;1000093
1000121;1000094
1000123;1000096
1000124;1000097
1000125;1000098
1000126;1000099
1000127;1000100
1000159;1000112
1000199;1000152
1000200;1000153
1000201;1000154
1000239;1000192
1000259;1000212
1000279;1000272
1000319;1000412
4000081;4000121
4000121;4000161
4000123;4000528
4000125;4000529
4000143;4000548
4000144;4000549
4000163;4000588
4000203;4000648
4000223;4000668
4000243;4000688
4000263;4000708
4000283;4000728
4000303;4000748
4000323;4000768
4000343;4000788
4000363;4000808
4000383;4000828
4000384;4000848
4000385;4000850
4000386;4000849
4000403;4000868
4000423;4000888
4000424;4000889
4000443;4000908
4000463;4000928
4000483;4000948
4000503;4000968
4000523;4000988
4000543;4001008
4000563;4001028
4000583;4001048
4000603;4001068
4000623;4001089
4000643;4001108
4000663;4001128
4000683;4001148
4000703;4001168
4000704;4001169
4000723;4001188
4000743;4001208
4000763;4001228
4000783;4001248
4000784;4001268
4000803;4001288
4000823;4001308
4000824;4001309
4000843;4001328
4000863;4001348
4000883;4001368
4000903;4001388
4000923;4001408
4000943;4001428
4000963;4001448
4000983;4001468
4001003;4001488
4001004;4001508
4001023;4001528
4001043;4001548
4001063;4001568
4001083;4001588
