ID;NAME;ACTIVE;COLOR
4;R_59;N;0
24;R_55;N;0
8;R_74;N;0
9;R_33;N;0
25;R_58;N;0
19;R_67;N;0
26;R_54;N;0
27;R_24;N;0
29;R_63;N;0
34;R_8;N;0
35;R_90;N;0
36;R_81;N;0
37;R_104;N;0
38;R_5;N;0
43;R_45;N;0
45;R_9;N;0
46;742;Y;0
47;R_107;N;0
48;R_7;N;0
49;R_36;N;0
51;R_103;N;0
62;R_1;N;0
64;R_21;N;0
65;723;Y;0
66;R_16;N;0
67;R_2;N;0
68;R_31;N;0
69;726;Y;0
70;R_76;N;0
71;R_12;N;0
74;R_31A;N;0
76;91;Y;0
83;R_11;N;0
84;R_13;N;0
86;R_17;N;0
87;R_18;N;0
88;R_25;N;0
92;R_27;N;0
94;729;Y;0
95;R_30;N;0
96;R_35;N;0
97;R_77;N;0
98;R_37;N;0
99;R_38;N;0
105;R_44;N;0
107;R_48;N;0
108;750;Y;0
109;751;Y;0
110;R_52;N;0
111;R_53;N;0
112;R_56;N;0
113;R_64;N;0
114;765;Y;0
115;R_71;N;0
116;R_72;N;0
117;R_73;N;0
118;R_80;N;0
119;R_82;N;0
120;R_83;N;0
121;R_85;N;0
122;R_100;N;0
146;R_41;N;0
124;R_101;N;0
126;R_106;N;0
127;R_108;N;0
128;R_20;N;0
130;732;Y;0
269;R_49;N;0
147;R_47;N;0
135;R_4;N;0
136;R_10;N;0
289;R_6;N;0
138;R_3;N;0
1000112;757;N;0
140;746;Y;0
1000132;R_2004;N;0
155;R_43;N;0
1000152;28EA;N;0
144;R_39;N;0
145;R_75;N;0
149;R_78;N;0
150;R_109;N;0
153;R_66;N;0
154;R_79;N;0
157;R_68;N;0
329;R_70;N;0
163;714;Y;0
1000153;28EB;N;0
184;R_114;N;0
391;R_34;N;0
1000154;28EC;N;0
206;R_110;N;0
207;R_112;N;0
208;R_113;N;0
209;R_40;N;0
229;R_19;N;0
230;R_22;N;0
231;R_28;N;0
249;R_105;N;0
250;R_9N;N;0
349;R_60;N;0
350;R_61;N;0
411;R_115;N;0
1000007;R_E15A;N;0
1000008;25E;Y;0
1000009;12E;Y;0
1000011;18E;Y;0
1000012;28E;Y;0
1000039;15E;Y;0
1000072;R_92;N;0
1000092;R_66A;N;0
1000093;201;Y;0
1000094;202;Y;0
1000095;R_203;N;0
1000096;205;N;0
1000097;206;Y;0
1000098;207;Y;0
1000099;208;Y;0
1000100;210;Y;0
1000172;R_84;N;0
1000192;102;N;0
1000212;Metro;N;0
1000232;708;Y;0
1000233;711;Y;0
1000252;794;Y;0
1000272;773;Y;0
1000273;727;Y;0
1000292;768;Y;0
1000293;R_790;N;0
1000294;799;Y;0
1000295;767;Y;0
1000312;701;Y;0
1000313;713;Y;0
1000314;718;Y;0
1000315;755;Y;0
1000316;759;Y;0
4000668;31B;Y;0
1000352;793;Y;0
1000372;720;Y;0
1000373;738;Y;0
1000392;758;Y;0
1000393;702;Y;0
1000394;709;Y;0
1000395;782;Y;0
1000396;781;Y;0
1000397;R_745;N;0
1000398;706;Y;0
1000412;96;Y;0
1000432;R_780;N;0
4000161;400;N;0
1000492;R_204;N;0
1000552;R_752;N;0
1000512;120;N;0
1000532;R_740;N;0
1000553;716;Y;0
1000554;753;Y;0
4000201;712;Y;0
4000281;731;Y;0
4000361;783;Y;0
4000521;725;Y;0
4000523;728;Y;0
4000001;Indefinido;Y;0
4000527;734;Y;0
4000588;Gloria;Y;0
4000688;32B;Y;0
4000708;40B;Y;0
1000555;760;Y;0
1000560;724;Y;0
1000565;756;Y;0
1000567;778;Y;0
4000251;774;Y;0
4000247;730;Y;0
4000249;770;Y;0
4000253;776;Y;0
4000255;798;Y;0
4000441;744;Y;0
1000332;R_777;N;0
4000728;29B;Y;0
4000748;26B;Y;0
4000808;9R;N;0
4000828;85A;Y;0
4000848;85B;Y;0
4000849;85D;Y;0
4000850;85C;Y;0
4001068;88B;Y;0
4001188;46B;Y;0
4001208;49B;Y;0
4001428;82A;Y;0
4001528;87A;Y;0
4001548;87B;Y;0
1000556;703;Y;0
4000528;84F;Y;0
4000529;84C;Y;0
4000568;aaa;N;0
4000768;Justa;Y;0
4000788;24E;Y;0
4000888;76B;Y;0
4000889;79B;Y;0
4000988;34B;Y;0
4001008;58B;Y;0
4001168;64B;Y;0
4001169;65B;Y;0
4001248;13B;Y;0
4001268;19B;Y;0
4001288;55B;Y;0
4001308;10B;Y;0
4001309;52B;Y;0
4001328;17B;Y;0
4001348;67B;Y;0
1000558;705;Y;0
1000559;717;Y;0
1000561;735;Y;0
1000562;737;Y;0
1000563;747;Y;0
1000564;748;Y;0
4000548;Bica;Y;0
4000549;Lavra;Y;0
4000908;43B;Y;0
4000928;44B;Y;0
4000948;37B;Y;0
4000968;70B;Y;0
4001368;98D;Y;0
4001089;88A;Y;0
4001108;88C;Y;0
4001388;771;Y;0
4001488;86A;Y;0
4001508;86B;Y;0
4001568;81B;Y;0
4001588;81C;Y;0
1000566;764;Y;0
1000568;796;Y;0
1000569;797;Y;0
4000121;98;N;0
4000243;749;Y;0
4000241;736;Y;0
4000245;754;Y;0
4000608;111;N;0
4000401;779;N;0
4000481;722;Y;0
4000648;97;Y;0
4000868;73B;Y;0
4001028;41B;Y;0
4001048;22B;Y;0
4001128;787;Y;0
4001148;99D;Y;0
4001228;61B;Y;0
4001408;81A;Y;0
4001448;83A;Y;0
4001468;84G;Y;0
